area_num_1,community,sq_miles,total_2014,children_2014_total,children_2014_0_4,children_2014_5_9,children_2014_10_14,children_2014_15_17,total_households_2014,total_families_with_kids,percent_child_2014,percent_child_2014_0_4,percent_child_2014_5_9,percent_child_2014_10_14,percent_child_2014_15_17,percent_child_2014_0_4_total,percent_child_2014_5_9_total,percent_child_2014_10_14_total,percent_child_2014_15_17_total,percent_families_2014_with_kids,density_pop_2014,density_households_2014,density_kids_2014,density_fam_2014,people_per_households_2014
49,ROSELAND,4.817841,44267,11016,2420,3188,3099,2309,14649,5149,24.88535477895497774866153116,5.466826304018795039193981973,7.201752998847900241715047326,7.000700295931506539860392618,5.216075180156775927892109246,21.96804647785039941902687001,28.93972403776325344952795933,28.13180827886710239651416122,20.96042120551924473493100944,35.14915693904020752269779507,9188.140496957039470584438133,3040.573568118997700422243075,2286.501360256596263762129136,1068.735975305121111302759888,3.021844494504744351150249164
5,NORTH CENTER,2.046537,34815,6965,3081,1801,1399,684,14670,3971,20.00574465029441332758868304,8.849633778543731150366221456,5.173057590119201493609076547,4.018382880942122648283785725,1.964670400689358035329599311,44.23546302943287867910983489,25.85786073223259152907394113,20.08614501076812634601579325,9.820531227566403445800430725,27.06884798909338786639400136,17011.66409402810699244626410,7168.206585075178215688257774,3403.310079417083590475031724,1940.350944058182187764013062,2.373210633946830265848670757
50,PULLMAN,2.116390,6970,1410,415,479,343,173,2927,717,20.22955523672883787661406026,5.954088952654232424677187948,6.872309899569583931133428981,4.921090387374461979913916786,2.482065997130559540889526542,29.43262411347517730496453901,33.97163120567375886524822695,24.32624113475177304964539007,12.26950354609929078014184397,24.49607106252135292107960369,3293.343854393566403167658135,1383.015417763266694701827168,666.2288141599610657771015739,338.7844395409163717462282472,2.381277758797403484796720191
51,SOUTH DEERING,10.897221,15570,4038,899,1247,1273,619,5002,1824,25.93448940269749518304431599,5.773924213230571612074502248,8.008991650610147719974309570,8.175979447655748233782915864,3.975594091201027617212588311,22.26349678058444774640911342,30.88162456661713719663199604,31.52550767706785537394749876,15.32937097573055968301139178,36.46541383446621351459416234,1428.804646615866559006190661,459.0161106212308624373131462,370.5531896618413079811816242,167.3821243049030573941741661,3.112754898040783686525389844
52,EAST SIDE,2.985886,23739,7579,1944,1961,2419,1255,6719,3078,31.92636589578331016470786470,8.189055983824086945532667762,8.260668098908968364295041914,10.18998272884283246977547496,5.286659084207422385104680062,25.64982187623697057659321810,25.87412587412587412587412587,31.91713946430927563003034701,16.55891278532787966750230901,45.81038845066230093763952969,7950.404000688572839016626891,2250.253358634589532219247486,2538.275071452828406710771945,1030.849804714580529866177074,3.533115046881976484595922012
53,WEST PULLMAN,3.564236,28160,7419,1594,2108,2623,1094,9154,3238,26.34588068181818181818181818,5.660511363636363636363636364,7.485795454545454545454545455,9.314630681818181818181818182,3.884943181818181818181818182,21.48537538751853349508019949,28.41353282113492384418385227,35.35516916026418654805229815,14.74592263108235611268365009,35.37251474765129997815162770,7900.711400704106013182067630,2568.292335299907189086244570,2081.511998644309748288272718,908.4695850667576445555232594,3.076250819313961109897312650
54,RIVERDALE,3.529238,7190,3185,887,663,1187,448,2316,1304,44.29763560500695410292072323,12.33657858136300417246175243,9.221140472878998609179415855,16.50904033379694019471488178,6.230876216968011126564673157,27.84929356357927786499215071,20.81632653061224489795918367,37.26844583987441130298273155,14.06593406593406593406593407,56.30397236614853195164075993,2037.266968110396635194339401,656.2323085039886797093310227,902.4610978347167292203019462,369.4848576378243688864281751,3.104490500863557858376511226
55,HEGEWISCH,5.235801,9338,2237,741,574,611,311,3549,1088,23.95587920325551509959306061,7.935318055258085243092739345,6.146926536731634182908545727,6.543156992932105375883486828,3.330477618333690297708288713,33.12472060795708538220831471,25.65936522127849798837729101,27.31336611533303531515422441,13.90254805543138131426016987,30.65652296421527190757959989,1783.490243422162148637811101,677.8332484370586277056748337,427.2507683160609045301759941,207.8001054661932338528526963,2.631163708086785009861932939
56,GARFIELD RIDGE,4.228750,34743,7803,1956,2290,2062,1495,11942,3985,22.45920041447197996718763492,5.629911061220965374320006908,6.591255792533747805313300521,5.935008490919034050024465360,4.303025069798232737529862131,25.06728181468665897731641676,29.34768678713315391516083558,26.42573369216967832884787902,19.15929770601050877867486864,33.36961982917434265617149556,8215.903044634939402896837127,2824.002364765001477978125924,1845.226130653266331658291457,942.3588530889742831806089270,2.909311673086585161614469938
57,ARCHER HEIGHTS,2.005944,13998,3949,1221,869,1148,711,3924,1828,28.21117302471781683097585369,8.722674667809687098156879554,6.208029718531218745535076439,8.201171595942277468209744249,5.079297042434633519074153450,30.91922005571030640668523677,22.00557103064066852367688022,29.07065079767029627753861737,18.00455811597872879209926564,46.58511722731906218144750255,6978.260609468659145020997595,1956.186214570297077086897740,1968.649174652931487618796936,911.2916412422280980924691816,3.567278287461773700305810398
