area_numbe,comarea_,shape_area,perimeter,community,comarea_id,shape_len,area_num_1,area,sq_miles
26,0.0000000000000000000000000000000,36092848.8150999993085861206054687500000,0.0000000000000000000000000000000,WEST GARFIELD PARK,0.0000000000000000000000000000000,26238.5419795999987400136888027191162,26,0.0000000000000000000000000000000,1.294653
27,0.0000000000000000000000000000000,53883220.8461999967694282531738281250000,0.0000000000000000000000000000000,EAST GARFIELD PARK,0.0000000000000000000000000000000,31514.6259565000000293366611003875732,27,0.0000000000000000000000000000000,1.932795
28,0.0000000000000000000000000000000,158492466.5539999902248382568359375000000,0.0000000000000000000000000000000,NEAR WEST SIDE,0.0000000000000000000000000000000,53003.5929405999995651654899120330811,28,0.0000000000000000000000000000000,5.685135
29,0.0000000000000000000000000000000,89487422.0242000073194503784179687500000,0.0000000000000000000000000000000,NORTH LAWNDALE,0.0000000000000000000000000000000,44959.4596626999991713091731071472168,29,0.0000000000000000000000000000000,3.209920
3,0.0000000000000000000000000000000,65095642.7289000004529953002929687500000,0.0000000000000000000000000000000,UPTOWN,0.0000000000000000000000000000000,46972.7945548999996390193700790405273,3,0.0000000000000000000000000000000,2.334985
30,0.0000000000000000000000000000000,127998297.8669999986886978149414062500000,0.0000000000000000000000000000000,SOUTH LAWNDALE,0.0000000000000000000000000000000,49904.0452101999981096014380455017090,30,0.0000000000000000000000000000000,4.591307
31,0.0000000000000000000000000000000,81550723.6377000063657760620117187500000,0.0000000000000000000000000000000,LOWER WEST SIDE,0.0000000000000000000000000000000,43229.3727035999982035718858242034912,31,0.0000000000000000000000000000000,2.925230
33,0.0000000000000000000000000000000,49769639.4540999978780746459960937500000,0.0000000000000000000000000000000,NEAR SOUTH SIDE,0.0000000000000000000000000000000,45053.1651037999981781467795372009277,33,0.0000000000000000000000000000000,1.785240
34,0.0000000000000000000000000000000,27766196.0954000018537044525146484375000,0.0000000000000000000000000000000,ARMOUR SQUARE,0.0000000000000000000000000000000,31948.5988398000008601229637861251831,34,0.0000000000000000000000000000000,0.995975
10,0.0000000000000000000000000000000,121959105.4699999988079071044921875000000,0.0000000000000000000000000000000,NORWOOD PARK,0.0000000000000000000000000000000,80368.3743778000061865895986557006836,10,0.0000000000000000000000000000000,4.374681
8,0.0000000000000000000000000000000,76675895.9728000015020370483398437500000,0.0000000000000000000000000000000,NEAR NORTH SIDE,0.0000000000000000000000000000000,57293.1649516000034054741263389587402,8,0.0000000000000000000000000000000,2.750369
32,0.0000000000000000000000000000000,46335565.4585999995470046997070312500000,0.0000000000000000000000000000000,LOOP,0.0000000000000000000000000000000,39428.6729962000026716850697994232178,32,0.0000000000000000000000000000000,1.662060
43,0.0000000000000000000000000000000,81812716.3957999944686889648437500000000,0.0000000000000000000000000000000,SOUTH SHORE,0.0000000000000000000000000000000,44249.6461172999988775700330734252930,43,0.0000000000000000000000000000000,2.934628
44,0.0000000000000000000000000000000,82320670.3111999928951263427734375000000,0.0000000000000000000000000000000,CHATHAM,0.0000000000000000000000000000000,42006.9450093999985256232321262359619,44,0.0000000000000000000000000000000,2.952848
45,0.0000000000000000000000000000000,34852737.7365999966859817504882812500000,0.0000000000000000000000000000000,AVALON PARK,0.0000000000000000000000000000000,27630.8225339999989955686032772064209,45,0.0000000000000000000000000000000,1.250170
